Date,Precip_Toal_inches
Jan-12,0.42
Feb-12,0.92
Mar-12,0.32
Apr-12,0.63
May-12,0.27
Jun-12,0.04
Jul-12,2.11
Aug-12,1.33
Sep-12,0.39
Oct-12,0.12
Nov-12,0.74
Dec-12,0.63
Jan-13,2.07
Feb-13,0.54
Mar-13,0.41
Apr-13,0.84
May-13,0.33
Jun-13,0
Jul-13,1.64
Aug-13,4.05
Sep-13,3.96
Oct-13,1.04
Nov-13,1.65
Dec-13,0.17
Jan-14,0.08
Feb-14,0.42
Mar-14,0.95
Apr-14,0.41
May-14,0.75
Jun-14,0
Jul-14,1.93
Aug-14,1.91
Sep-14,3.82
Oct-14,0.64
Nov-14,0.79
Dec-14,1.03
Jan-15,1.26
Feb-15,0.91
Mar-15,0.74
Apr-15,0.78
May-15,2.66
Jun-15,2.18
Jul-15,2.08
Aug-15,1.62
Sep-15,2.94
Oct-15,1.74
Nov-15,1.49
Dec-15,0.65
Jan-16,1.03
Feb-16,0.28
Mar-16,0.14
Apr-16,0.78
May-16,1.08
Jun-16,0.02
Jul-16,0.87
Aug-16,2.08
Sep-16,1.72
Oct-16,0.48
Nov-16,2.21
Dec-16,2.13
Jan-17,1.94
Feb-17,0.98
Mar-17,0.49
Apr-17,1.06
May-17,0.97
Jun-17,0.01
Jul-17,2.57
Aug-17,0.28
Sep-17,2.43
Oct-17,0.1
Nov-17,0.07
Dec-17,0
Jan-18,0.48
Feb-18,0.69
Mar-18,0.37
Apr-18,0.55
May-18,0.61
Jun-18,0.54
Jul-18,2.14
Aug-18,0.36
Sep-18,1
Oct-18,2.19
Nov-18,0.23
Dec-18,0.49
Jan-19,1.3
Feb-19,1.56
Mar-19,2.14
Apr-19,0.95
May-19,1.42
Jun-19,0.3
Jul-19,0.87
Aug-19,0.9
Sep-19,1.13
Oct-19,0.32
Nov-19,1.71
Dec-19,2.58
Jan-20,1.14
Feb-20,0.66
Mar-20,2.12
Apr-20,0.03
May-20,0.19
Jun-20,0.29
Jul-20,2.37
Aug-20,0.65
Sep-20,0.36
Oct-20,0.27
Nov-20,0.88
Dec-20,0.7